frame,score,psr,ess,cx,cy,w,h
235,0.96363,8.1035,500.0,345.281,106.001,17.947,19.93
236,0.953178,8.4547,500.0,349.168,105.04,17.619,20.006
237,0.936949,8.1989,500.0,351.168,105.01,18.315,19.966
238,0.897608,9.368,500.0,354.741,105.589,18.858,20.061
239,0.884815,9.8281,500.0,358.276,106.571,18.332,20.192
240,0.890554,10.1149,500.0,362.788,106.556,18.182,20.02
241,0.894991,11.3333,500.0,364.581,106.505,16.525,20.516
242,0.977976,7.8889,500.0,364.362,106.773,16.304,20.103
243,0.96382,7.3742,500.0,361.882,107.505,15.751,19.733
244,0.975166,7.6317,500.0,359.035,107.26,15.756,19.621
245,0.973752,7.5732,500.0,358.507,106.887,15.651,19.386
246,0.984693,7.1041,500.0,358.448,107.867,15.309,19.135
247,0.979073,7.3745,500.0,358.426,107.766,15.409,19.019
248,0.982266,7.0558,500.0,357.144,107.43,15.245,18.828
249,0.988066,7.0338,500.0,355.094,107.492,14.871,18.574
250,0.986393,7.6031,500.0,353.263,108.252,14.4,18.252
251,0.977862,7.5094,500.0,349.192,108.847,14.207,18.278
252,0.986015,7.2206,500.0,345.024,108.154,13.943,17.948
253,0.972932,7.4945,500.0,341.966,107.549,13.394,17.397
254,0.985041,6.8896,500.0,339.337,107.859,13.625,17.213
255,0.97125,7.0318,500.0,334.65,108.877,13.727,17.312
256,0.984123,6.9682,500.0,330.706,108.871,13.771,17.518
257,0.986066,6.7284,500.0,327.928,108.088,13.604,17.451
258,0.974275,7.0878,500.0,327.1,108.299,13.38,17.737
259,0.979544,7.0669,500.0,325.318,108.005,13.575,17.657
260,0.981728,6.9332,500.0,324.326,108.278,13.644,17.282
261,0.965551,7.4352,500.0,323.274,108.297,13.73,17.143
262,0.952017,7.7773,500.0,321.136,108.726,13.778,16.958
263,0.975071,7.3415,500.0,319.034,108.292,13.675,16.396
264,0.960903,7.6457,500.0,319.627,108.131,13.362,15.977
265,0.947083,7.8318,500.0,320.533,108.681,13.301,15.62
266,0.945285,7.9604,500.0,321.139,108.56,13.321,15.349
267,0.956972,7.7653,500.0,320.437,108.439,12.839,15.011
268,0.98194,7.0754,500.0,320.738,107.833,12.382,14.753
269,0.980036,7.0381,500.0,320.863,108.103,11.936,14.588
270,0.941754,7.9642,500.0,321.685,108.516,11.063,15.331
271,0.972039,6.3552,500.0,321.597,108.236,11.774,14.8
272,0.969066,6.5725,500.0,322.482,108.706,12.532,14.733
273,0.969744,6.7806,500.0,325.741,109.076,13.573,14.787
274,0.939443,7.9376,500.0,326.696,109.465,13.5,14.897
275,0.931045,7.3168,500.0,326.866,110.045,13.595,15.013
276,0.957473,7.0286,500.0,327.626,109.648,13.789,14.956
277,0.969613,7.5922,500.0,329.653,109.48,12.776,15.85
278,0.939535,8.1463,500.0,330.343,109.311,12.64,15.365
279,0.958497,7.3768,500.0,331.428,108.448,12.672,15.154
280,0.945807,7.5448,500.0,331.589,109.254,12.856,14.997
281,0.951893,7.788,500.0,332.614,110.383,12.131,15.963
282,0.920839,8.1037,500.0,333.067,110.471,11.572,16.032
283,0.982395,6.5818,500.0,333.416,111.447,11.183,16.269
284,0.941673,6.8551,500.0,336.921,112.279,11.905,15.884
285,0.944682,6.4441,500.0,342.101,112.177,12.108,15.624
286,0.837654,7.817,500.0,348.014,112.048,13.336,15.425
287,0.943605,7.4058,500.0,351.953,110.976,14.248,15.452
288,0.808421,8.1193,500.0,354.83,112.479,15.056,15.699
289,0.86124,8.3976,500.0,355.848,111.049,14.92,15.866
290,0.922641,7.3456,500.0,357.815,110.817,14.939,16.226
291,0.930844,8.1036,500.0,359.624,109.948,14.668,16.336
292,0.860385,8.606,500.0,360.718,110.83,15.542,16.384
293,0.919023,7.7412,500.0,360.574,111.315,15.05,16.644
294,0.942668,7.9109,500.0,357.914,111.661,15.008,16.666
295,0.941823,7.7133,500.0,355.011,111.795,14.855,16.837
296,0.931954,7.7866,500.0,350.534,111.935,14.215,16.452
297,0.970039,7.2412,500.0,347.904,111.519,13.914,15.998
298,0.975428,7.0349,500.0,346.812,112.577,13.866,15.618
299,0.973122,6.7418,500.0,346.09,112.696,13.912,15.621
300,0.989261,6.2527,500.0,345.695,113.131,13.922,15.422
301,0.984299,6.0915,500.0,343.66,113.677,13.799,15.116
302,0.981994,6.5069,500.0,342.716,114.948,13.655,14.954
303,0.981815,6.721,500.0,342.242,115.52,13.488,14.819
304,0.975588,7.0768,500.0,341.845,116.472,13.574,14.626
305,0.952116,7.1141,500.0,341.0,117.611,13.285,14.435
306,0.962863,7.036,500.0,340.655,118.204,13.327,14.367
307,0.986959,6.6428,500.0,338.382,117.466,13.048,14.459
308,0.974285,6.9144,500.0,337.202,117.856,13.109,14.378
309,0.983976,6.181,500.0,335.687,118.052,13.345,14.596
310,0.989611,5.883,500.0,333.795,118.048,13.641,14.489
311,0.991841,6.0204,500.0,331.964,118.642,13.453,14.435
312,0.990197,6.0337,500.0,329.509,120.346,12.999,14.318
313,0.941279,5.9388,500.0,324.08,121.703,12.907,13.839
314,0.992002,6.5794,500.0,320.771,122.124,12.703,13.862
315,0.994593,6.1935,500.0,321.108,122.436,12.738,13.633
316,0.990353,6.1994,500.0,324.302,123.171,13.135,13.995
317,0.992081,5.7282,500.0,326.353,123.199,13.346,14.113
318,0.978928,6.0813,500.0,329.751,123.472,13.459,14.235
319,0.974712,5.5794,500.0,335.606,123.585,14.467,14.086
320,0.884542,7.4812,500.0,341.819,123.84,15.757,14.143
321,0.973887,6.2802,500.0,347.77,124.507,16.331,14.182
322,0.853872,8.2236,500.0,354.286,124.2,16.805,14.211
323,0.244415,7.2154,404.3,358.768,124.673,16.881,14.39
324,0.102878,8.6679,354.3,364.122,125.24,16.893,14.466
325,0.082153,9.2733,500.0,371.847,127.674,16.905,14.533
326,0.477547,7.2889,500.0,379.305,131.711,15.799,15.285
327,0.643675,8.5981,500.0,386.579,134.953,14.438,16.224
328,0.546439,7.442,500.0,387.45,135.399,13.25,16.927
329,0.290802,8.3854,500.0,386.928,134.368,12.773,17.291
330,0.8818,7.7784,500.0,382.901,127.256,13.77,16.288
331,0.947719,7.4179,500.0,382.337,125.461,13.847,15.614
332,0.956268,6.8957,500.0,381.447,126.131,13.601,15.24
333,0.948915,6.7924,500.0,379.781,125.796,13.528,14.937
334,0.938716,7.1534,500.0,379.794,125.857,13.238,14.586
335,0.945906,7.5758,500.0,379.624,125.572,12.928,14.274
336,0.967273,6.5313,500.0,377.048,125.504,12.675,14.046
337,0.992439,5.836,500.0,373.906,125.301,12.484,13.776
338,0.995063,5.5799,500.0,370.114,125.721,12.326,13.477
339,0.96555,5.8933,500.0,365.102,125.41,12.534,13.23
340,0.988485,5.4685,500.0,361.376,125.276,12.713,13.038
341,0.986105,5.6761,500.0,359.674,125.198,13.147,13.064
342,0.996276,5.9098,500.0,357.478,125.406,13.453,13.226
343,0.995106,6.0905,500.0,355.903,125.014,13.602,13.417
344,0.992026,5.9197,500.0,355.057,124.982,13.535,13.156
345,0.991663,6.1653,500.0,354.2,125.417,13.121,13.107
346,0.995865,5.9516,500.0,354.487,125.516,13.064,13.025
347,0.992375,6.1174,500.0,354.432,125.598,13.207,13.041
348,0.993843,6.2447,500.0,354.395,125.632,13.365,13.042
