frame,score,psr,ess,cx,cy,w,h
131,0.984335,11.8809,500.0,337.631,121.405,25.269,58.792
132,0.990504,10.8726,500.0,338.401,122.254,25.792,58.27
133,0.985844,11.6276,250.8,341.016,122.16,25.363,59.703
134,0.986863,13.258,500.0,343.289,120.582,24.308,59.554
135,0.981088,10.7981,500.0,343.729,119.575,24.429,60.702
136,0.987949,10.7,273.0,343.072,119.47,25.122,59.281
137,0.99062,10.7972,500.0,341.77,120.761,24.989,59.22
138,0.977145,11.3866,500.0,341.514,121.005,25.36,59.842
139,0.959671,11.5989,500.0,341.226,120.716,25.137,59.23
140,0.982766,10.7501,277.5,341.352,122.092,25.52,60.687
141,0.971281,10.894,500.0,342.235,121.158,25.362,59.916
142,0.981099,12.5953,500.0,342.805,120.073,24.798,59.701
143,0.924073,18.2434,500.0,344.85,117.4,24.393,58.732
144,0.906467,15.4478,500.0,345.337,117.361,24.237,58.2
145,0.96497,13.5102,500.0,348.079,116.413,24.414,56.449
146,0.916066,12.6435,500.0,352.208,116.024,24.991,55.499
147,0.947346,12.6531,500.0,355.951,115.715,24.272,55.388
148,0.945833,13.3295,500.0,357.947,116.104,23.806,54.889
149,0.956924,11.7126,500.0,360.28,115.938,23.927,52.745
150,0.941737,13.0629,500.0,362.74,115.42,23.502,50.133
151,0.964006,10.8963,250.4,364.397,115.912,22.641,50.3
152,0.937321,12.7289,500.0,366.82,114.709,21.788,49.073
153,0.861417,16.4483,500.0,369.016,115.853,21.343,49.317
154,0.847357,18.5411,500.0,370.57,113.182,20.652,47.888
155,0.953095,12.5664,500.0,370.943,114.004,20.618,45.766
156,0.946574,12.372,500.0,371.153,114.915,20.006,44.428
157,0.94624,11.4386,500.0,371.739,113.75,19.851,43.036
158,0.915113,13.0057,500.0,371.849,113.976,19.213,41.984
159,0.974591,10.6664,500.0,370.661,113.911,19.292,40.717
160,0.95935,11.0518,500.0,368.705,112.807,19.678,39.858
161,0.956463,11.1723,500.0,369.022,111.424,19.548,38.492
162,0.968927,10.5343,500.0,368.087,111.683,20.023,37.348
163,0.97814,9.8028,500.0,366.519,111.244,19.973,36.788
164,0.953191,11.4508,500.0,365.539,110.48,19.749,36.172
165,0.925521,12.013,500.0,364.412,110.379,19.812,35.434
166,0.963742,12.1485,500.0,364.813,110.078,19.156,35.178
167,0.935849,11.1988,500.0,365.104,109.692,18.973,34.268
168,0.940013,11.7399,500.0,363.887,109.526,18.727,33.331
169,0.953163,10.8191,500.0,363.307,109.109,19.135,32.928
170,0.945852,10.4927,500.0,363.453,108.765,18.923,32.328
171,0.943875,11.2521,500.0,364.513,108.636,19.131,31.595
172,0.951967,11.2524,500.0,364.687,108.489,18.929,31.402
173,0.965422,9.3275,500.0,364.451,108.521,19.033,30.288
174,0.979417,9.2931,500.0,363.599,108.671,18.576,29.288
175,0.957154,9.6816,500.0,363.519,108.098,19.355,27.854
176,0.974097,8.6979,500.0,364.045,108.137,19.441,27.95
177,0.948949,10.5571,500.0,364.886,107.632,19.371,27.956
178,0.940524,10.0957,500.0,365.279,108.291,19.544,28.606
179,0.979182,9.5958,500.0,366.398,106.902,19.358,28.343
180,0.970079,9.5908,500.0,367.831,106.596,19.145,28.359
181,0.970926,8.6499,500.0,368.784,107.218,18.93,29.478
182,0.964574,9.21,500.0,369.389,107.933,18.195,30.81
183,0.983851,9.4738,500.0,369.168,108.409,17.369,31.397
184,0.965158,10.0596,500.0,368.986,107.498,17.054,31.088
185,0.972964,9.1495,500.0,369.124,106.335,17.095,30.914
186,0.974227,9.7682,500.0,369.909,107.56,17.583,31.326
187,0.986501,8.5089,500.0,371.313,107.028,17.753,31.369
188,0.986371,8.8672,500.0,372.965,107.648,17.792,31.169
189,0.95382,9.8131,500.0,373.66,107.539,18.064,31.434
190,0.979162,9.4114,500.0,374.207,106.903,17.59,30.581
191,0.973614,8.5517,500.0,373.901,106.901,17.573,29.678
192,0.968358,9.282,500.0,374.751,107.149,17.668,29.422
193,0.969823,8.963,500.0,376.079,105.731,17.689,29.015
194,0.957309,9.1635,500.0,377.155,104.888,17.148,28.758
195,0.976968,8.7194,500.0,376.847,105.019,16.831,28.857
196,0.969175,8.3499,500.0,376.39,105.236,16.556,28.252
197,0.986691,7.4221,500.0,377.958,105.539,16.94,28.312
198,0.936438,9.2455,500.0,379.162,104.879,16.833,27.87
199,0.952601,8.8682,500.0,379.319,104.248,16.924,27.625
200,0.912083,8.668,500.0,378.693,103.515,16.782,27.357
201,0.964446,8.6191,500.0,379.729,103.875,16.572,27.343
202,0.94948,8.4254,500.0,380.754,104.136,16.423,27.305
203,0.959113,8.0233,500.0,381.216,103.797,16.583,27.169
204,0.983504,8.0003,500.0,382.409,104.308,16.37,27.946
205,0.913284,8.9227,500.0,382.283,102.379,18.415,26.048
206,0.93494,9.2898,500.0,383.614,101.742,19.07,24.993
207,0.946861,8.5352,500.0,384.241,102.594,18.582,25.701
208,0.958849,9.1978,500.0,385.147,101.821,18.149,25.703
209,0.949557,8.1702,500.0,384.186,102.792,17.598,25.558
210,0.9025,10.015,500.0,383.601,102.608,19.453,24.324
211,0.94729,8.0663,500.0,383.647,102.732,20.793,23.677
212,0.958833,8.2892,500.0,384.54,102.169,21.46,23.281
213,0.949158,8.76,500.0,385.249,101.649,22.629,22.681
214,0.943923,8.7679,500.0,385.204,101.857,22.539,22.65
215,0.917545,9.0711,500.0,384.472,101.715,22.753,22.455
216,0.918545,8.4827,500.0,384.38,101.835,23.02,22.79
217,0.960048,9.0691,500.0,384.853,102.006,20.985,24.025
218,0.971013,7.3705,500.0,385.005,101.599,20.534,23.875
219,0.983057,7.1638,500.0,384.628,102.258,19.762,23.483
220,0.965178,7.7266,500.0,383.719,102.268,19.277,23.297
221,0.895058,9.5679,500.0,383.015,102.819,20.436,23.096
222,0.956255,7.9391,500.0,381.996,102.303,20.176,23.282
223,0.968316,7.9388,500.0,378.816,102.522,19.246,23.084
224,0.925478,8.424,500.0,370.49,102.019,18.301,22.715
225,0.979187,7.5109,500.0,357.708,102.88,17.72,22.524
226,0.951524,7.8411,500.0,343.894,103.683,17.061,22.05
227,0.931182,7.8336,500.0,334.315,104.176,16.341,21.683
228,0.987999,7.682,500.0,327.897,104.264,16.04,21.284
229,0.989488,7.8261,500.0,324.896,105.25,15.877,21.066
230,0.974729,8.4363,500.0,322.445,103.836,15.858,20.896
231,0.965488,8.5191,500.0,321.962,104.369,15.566,20.555
232,0.977321,7.8419,500.0,326.184,104.716,15.658,20.587
233,0.974804,7.771,500.0,331.289,105.296,16.635,19.973
234,0.980447,7.834,500.0,338.825,105.915,17.351,19.742
235,0.944514,8.163,500.0,345.606,106.489,18.143,19.596
236,0.940873,8.4417,500.0,349.288,106.414,18.534,19.661
237,0.953593,8.5045,500.0,351.739,106.044,19.111,19.845
238,0.877957,9.8524,500.0,354.523,106.047,19.508,20.077
239,0.91478,9.5795,500.0,357.393,106.725,19.515,20.069
240,0.898965,9.0407,500.0,362.493,107.063,19.072,19.853
241,0.887445,10.0977,500.0,364.794,106.573,18.974,19.78
242,0.968861,7.9388,500.0,363.931,107.014,19.155,19.656
243,0.961745,7.8562,500.0,361.531,107.608,18.712,19.566
244,0.972323,7.9404,500.0,358.108,107.821,18.872,19.583
245,0.965903,7.5548,500.0,357.073,107.643,18.698,19.457
246,0.973854,7.4431,500.0,357.488,107.659,18.482,19.513
247,0.977805,7.6461,500.0,357.384,107.667,18.383,19.391
248,0.976995,7.4677,500.0,356.819,107.993,18.196,19.254
249,0.982721,7.5122,500.0,354.934,108.005,17.696,18.991
250,0.976534,8.3607,500.0,353.298,107.706,16.459,18.955
251,0.973223,7.9429,500.0,348.905,108.656,16.31,18.684
252,0.979806,7.4159,500.0,344.78,108.861,16.398,18.402
253,0.975462,7.6269,500.0,342.441,109.36,15.468,18.337
254,0.981237,6.9743,500.0,339.098,108.884,14.729,18.088
255,0.971059,7.4886,500.0,334.818,108.933,14.625,18.275
256,0.986313,7.3029,500.0,331.075,108.916,14.678,18.256
257,0.978102,6.5328,500.0,327.637,108.818,14.25,18.187
258,0.974728,7.2852,500.0,325.994,108.731,14.325,18.301
259,0.984971,6.8674,500.0,325.245,108.388,14.258,18.043
260,0.980975,7.2002,500.0,324.756,108.813,14.234,17.708
261,0.961221,7.8033,500.0,323.582,108.589,14.227,17.548
262,0.962159,7.6468,500.0,321.471,108.642,14.164,17.418
263,0.980662,7.5028,500.0,320.123,107.814,14.142,16.947
264,0.960033,7.7972,500.0,319.407,108.24,13.71,16.541
265,0.951505,8.1633,500.0,321.152,108.294,13.455,15.977
266,0.921958,8.334,500.0,320.859,108.673,13.384,15.564
267,0.953871,7.9817,500.0,320.961,108.23,13.215,15.162
268,0.967223,7.6208,500.0,320.9,108.61,13.173,14.919
269,0.972594,7.1414,500.0,321.144,108.096,12.665,14.792
270,0.91344,7.6725,500.0,321.274,108.534,12.727,14.783
271,0.981492,6.226,500.0,321.793,108.634,13.124,14.679
272,0.974462,6.5811,500.0,322.75,109.437,13.527,14.894
273,0.974524,6.7179,500.0,324.918,109.967,13.748,14.94
274,0.909091,7.7861,500.0,326.385,109.81,14.467,15.201
275,0.936282,7.5532,500.0,325.918,110.906,14.424,15.434
276,0.962526,7.366,500.0,327.81,110.103,14.319,15.564
277,0.931809,7.888,500.0,329.843,109.787,15.093,15.937
278,0.937403,8.5737,500.0,330.673,109.722,14.362,15.841
279,0.950608,7.6803,500.0,330.593,108.588,13.787,15.724
280,0.950063,7.6056,500.0,330.907,109.116,13.754,15.712
281,0.961311,7.2019,500.0,332.12,110.439,13.767,15.796
282,0.954237,7.3436,500.0,332.212,111.115,13.987,15.709
283,0.980263,6.6519,500.0,332.46,110.983,13.869,15.848
284,0.965461,6.8957,500.0,335.703,112.644,13.863,15.98
285,0.970028,6.4053,500.0,340.985,112.75,14.538,15.902
286,0.930345,7.4762,500.0,347.143,111.889,14.321,16.016
287,0.955886,7.623,500.0,352.364,111.452,14.857,15.879
288,0.755093,8.3235,500.0,354.335,112.802,15.724,16.02
289,0.858896,8.5311,500.0,355.548,111.49,15.329,16.308
290,0.938725,7.3954,500.0,356.936,111.471,15.991,16.278
291,0.905746,8.2023,500.0,359.207,110.973,15.661,16.529
292,0.842819,8.3395,500.0,360.27,111.534,15.354,16.626
293,0.887183,8.0936,500.0,360.214,111.964,15.093,16.653
294,0.934187,8.2046,500.0,358.028,112.4,15.026,16.65
295,0.898694,7.9011,500.0,354.067,111.68,14.694,16.713
