fi,score_ax,score_cpu,d_score,cx_ax,cx_cpu,d_cx,cy_ax,cy_cpu,d_cy,dist,psr_ax,psr_cpu,score_max_ax,score_max_cpu
45,0.42335742712020874,0.9846383929252625,-0.5612809658050537,366.7025451660156,329.0058898925781,37.6966552734375,144.31195068359375,187.61802673339844,-43.30607604980469,57.414754563925904,2.775981287912992,13.140733090033017,0.464587539434433,0.9891151189804077
46,0.4067520201206207,0.9950495362281799,-0.5882975161075592,365.7103576660156,321.7379150390625,43.972442626953125,139.5372314453125,185.9769744873047,-46.43974304199219,63.954870372685036,3.303995821579378,11.191295351836255,0.5381729006767273,0.9950495362281799
47,0.3909752070903778,0.9589645862579346,-0.5679893791675568,375.73455810546875,311.4867248535156,64.24783325195312,137.14222717285156,184.43460083007812,-47.29237365722656,79.77689316904683,3.577313968836691,13.33708810721223,0.6348953247070312,0.9930880665779114
48,0.5898534655570984,0.9897903800010681,-0.3999369144439697,385.5096435546875,302.39605712890625,83.11358642578125,134.21484375,183.5994873046875,-49.3846435546875,96.67839090292797,4.011769560188583,12.433602450953432,0.7127134203910828,0.9928913116455078
49,0.5637784004211426,0.9808070063591003,-0.41702860593795776,409.17486572265625,296.07098388671875,113.1038818359375,107.22315979003906,182.9569091796875,-75.73374938964844,136.11792271031683,4.057815887986919,13.641330813594697,0.7580958604812622,0.9880396723747253
50,0.6264727711677551,0.9893346428871155,-0.36286187171936035,422.70233154296875,289.8868408203125,132.81549072265625,84.15773010253906,181.9580535888672,-97.80032348632812,164.93895188805587,3.4075385179667634,12.138571185399996,0.714248776435852,0.9934813976287842
51,0.7568751573562622,0.9859218001365662,-0.22904664278030396,428.83734130859375,283.26116943359375,145.576171875,72.42049407958984,181.19346618652344,-108.7729721069336,181.72501555579873,3.7646422225858545,12.956548075708524,0.8057628870010376,0.994094967842102
52,0.7722736597061157,0.9864904880523682,-0.21421682834625244,428.2419128417969,276.3443603515625,151.89755249023438,66.99272155761719,181.52540588378906,-114.53268432617188,190.23827751396942,3.752398996405708,11.798328482565074,0.7998389601707458,0.9960095882415771
53,0.7610194683074951,0.9960948824882507,-0.23507541418075562,426.41595458984375,271.9782409667969,154.43771362304688,58.952335357666016,181.609375,-122.65703964233398,197.22007190683033,3.603457461874828,12.214694846711046,0.7610194683074951,0.9960948824882507
54,0.7844313979148865,0.9841462969779968,-0.19971489906311035,426.5011901855469,270.2653503417969,156.23583984375,45.32535171508789,182.048583984375,-136.7232322692871,207.61233078467023,3.835183941056094,14.521722654231842,0.7844313979148865,0.9884449243545532
55,0.741999626159668,0.9868214726448059,-0.24482184648513794,422.4742431640625,268.65667724609375,153.81756591796875,45.26407241821289,182.68360900878906,-137.41953659057617,206.2619029818579,3.878445826556502,14.75783226514886,0.7584995031356812,0.9891903400421143
56,0.7653758525848389,0.9774739146232605,-0.21209806203842163,423.4243469238281,267.6007995605469,155.82354736328125,39.19160842895508,181.7720184326172,-142.5804100036621,211.21115318488543,3.8265274602190615,14.057909404514094,0.7653758525848389,0.9915492534637451
57,0.6441957950592041,0.9898562431335449,-0.3456604480743408,416.8934326171875,267.66522216796875,149.22821044921875,37.55878448486328,180.14788818359375,-142.58910369873047,206.39939749786973,3.565875108779719,13.265825075317753,0.6647289395332336,0.9931682348251343
58,0.7196351885795593,0.9882794618606567,-0.2686442732810974,418.0362854003906,268.6661682128906,149.3701171875,33.851234436035156,179.66104125976562,-145.80980682373047,208.738907907896,3.5335047535407846,14.157694954553667,0.7220208048820496,0.9883044958114624
59,0.6600586175918579,0.990196704864502,-0.33013808727264404,418.9095764160156,271.1029968261719,147.80657958984375,30.115093231201172,179.7549591064453,-149.63986587524414,210.330393498443,3.4623717436775547,14.540752194293988,0.6696897745132446,0.990196704864502
60,0.623816967010498,0.9871653318405151,-0.3633483648300171,419.6388854980469,272.3564758300781,147.28240966796875,20.801612854003906,179.91598510742188,-159.11437225341797,216.81672365203437,3.1391244375572205,15.205865823463002,0.623816967010498,0.9871653318405151
61,0.7118157744407654,0.9934782981872559,-0.2816625237464905,423.4055480957031,273.7123718261719,149.69317626953125,17.81966781616211,180.8491668701172,-163.02949905395508,221.32931252648052,3.4084442645460675,13.557489407613932,0.7205780744552612,0.9934782981872559
62,0.6905454993247986,0.983030378818512,-0.2924848794937134,424.9364929199219,277.7424621582031,147.19403076171875,18.006179809570312,180.74368286132812,-162.7375030517578,219.43012006423066,3.3283558838815286,13.142551634869603,0.7135937213897705,0.983030378818512
63,0.7177768349647522,0.9686347842216492,-0.250857949256897,428.8857421875,281.9766845703125,146.9090576171875,16.394020080566406,181.13600158691406,-164.74198150634766,220.73103923238324,3.5785549455145023,15.427577281573498,0.7391512393951416,0.9689114093780518
64,0.7212371230125427,0.9779871106147766,-0.2567499876022339,436.23773193359375,286.3681640625,149.86956787109375,18.90290069580078,181.26104736328125,-162.35814666748047,220.95487132708226,3.521313325979643,13.382126374810895,0.7481509447097778,0.9779871106147766
65,0.7064909934997559,0.9729966521263123,-0.2665056586265564,437.2317810058594,287.8164367675781,149.41534423828125,18.13378143310547,181.32325744628906,-163.1894760131836,221.25946347060844,3.5986364813516194,17.080937763615673,0.7225480675697327,0.9729966521263123
66,0.765720009803772,0.9292151927947998,-0.16349518299102783,439.779052734375,288.72900390625,151.050048828125,18.396150588989258,181.95127868652344,-163.55512809753418,222.63512116909982,3.6787186179757057,16.646021108808227,0.7756336331367493,0.9309547543525696
67,0.7662728428840637,0.95453280210495,-0.18825995922088623,445.90716552734375,290.7809753417969,155.12619018554688,22.05368423461914,181.83010864257812,-159.77642440795898,222.694051734829,3.640704371133975,16.583280336442446,0.7662728428840637,0.95453280210495
68,0.8123483657836914,0.8832684755325317,-0.07092010974884033,449.9510803222656,293.5491027832031,156.4019775390625,23.891244888305664,180.97804260253906,-157.0867977142334,221.6705677221085,3.836845642137048,19.81123437459472,0.8193681240081787,0.8921833038330078
69,0.8466567397117615,0.929017186164856,-0.08236044645309448,454.7733154296875,297.7432556152344,157.03005981445312,24.436298370361328,180.88404846191406,-156.44775009155273,221.66266756952933,3.736636842576372,17.38766189268273,0.8466567397117615,0.929017186164856
70,0.8566892743110657,0.9869677424430847,-0.13027846813201904,463.1389465332031,302.2198791503906,160.9190673828125,26.077829360961914,181.95053100585938,-155.87270164489746,224.0340272490618,3.8569201546729492,13.225310522432375,0.867169201374054,0.9869677424430847
71,0.8526162505149841,0.926289439201355,-0.07367318868637085,465.79815673828125,304.9229736328125,160.87518310546875,25.45772361755371,179.10592651367188,-153.64820289611816,222.46032183835567,3.668600156633332,19.26828077770565,0.8526162505149841,0.926289439201355
72,0.7964494824409485,0.8576379418373108,-0.061188459396362305,466.6065979003906,306.05926513671875,160.54733276367188,26.04969596862793,179.5808563232422,-153.53116035461426,222.14243911815558,3.5761308063729884,16.646173689884446,0.8065983057022095,0.8576379418373108
73,0.8103569746017456,0.9140084981918335,-0.10365152359008789,467.5898742675781,305.2169494628906,162.3729248046875,27.877763748168945,180.93505859375,-153.05729484558105,223.14009548952836,3.723476621164298,17.774090378146127,0.8103569746017456,0.9140084981918335
74,0.8342084288597107,0.8880590796470642,-0.053850650787353516,469.703857421875,305.99359130859375,163.71026611328125,29.248125076293945,180.09349060058594,-150.845365524292,222.6103670789809,3.8020798756468963,17.605396669087078,0.8363139033317566,0.8880590796470642
75,0.8426225781440735,0.9056870937347412,-0.06306451559066772,469.47064208984375,307.7503662109375,161.72027587890625,29.520341873168945,180.30703735351562,-150.78669548034668,221.11100190680776,3.7754001506202237,19.357194213300325,0.8578972220420837,0.91074538230896
76,0.8534154295921326,0.9325958490371704,-0.07918041944503784,469.30633544921875,309.2442321777344,160.06210327148438,29.393272399902344,179.67459106445312,-150.28131866455078,219.55489437324687,3.6860844176519136,18.397039687314514,0.8606970906257629,0.9325958490371704
77,0.9011055827140808,0.9467546939849854,-0.04564911127090454,470.4147644042969,309.205322265625,161.20944213867188,28.410694122314453,179.07864379882812,-150.66794967651367,220.65655506779365,3.8517560643368873,15.737150123229714,0.9125786423683167,0.9601569175720215
78,0.7919238209724426,0.9455858469009399,-0.15366202592849731,470.62530517578125,309.7981262207031,160.82717895507812,27.272891998291016,176.59088134765625,-149.31798934936523,219.45670059031207,3.502555387622457,15.836912544800896,0.8057693243026733,0.9455858469009399
79,0.8699413537979126,0.8404564261436462,0.029484927654266357,473.2347717285156,311.5003662109375,161.73440551757812,28.317848205566406,175.4508819580078,-147.1330337524414,218.6461697568047,3.757663582863914,18.484142757979328,0.8699413537979126,0.8404564261436462
80,0.8548038601875305,0.7955495119094849,0.059254348278045654,475.5782165527344,313.3051452636719,162.2730712890625,27.40994644165039,175.47567749023438,-148.06573104858398,219.6725071021332,3.7361647942020846,20.32701397261581,0.8628031611442566,0.7955495119094849
